window_seconds,test_day,model,class_protocol,n_train,n_test,n_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_candidate_features,n_constant_removed,n_final_features
1,2023-04-10,xgb,dasel_intersection,15000,7353,12,0.5677954576363389,0.266759682068769,0.21522608786968533,0.4867817637558245,251,18,233
1,2023-04-11,xgb,dasel_intersection,15136,7739,15,0.629538700090451,0.26654213403605675,0.21966129346642724,0.6156421827174596,251,18,233
1,2023-04-12,xgb,dasel_intersection,17506,5932,18,0.48314227916385705,0.21349484603694455,0.18809015814184663,0.4067152908493457,251,18,233
1,2023-04-13,xgb,dasel_intersection,19280,2481,13,0.528415961305925,0.2137832954689666,0.20773788993761316,0.4694355859876546,251,18,233
3,2023-04-10,xgb,dasel_intersection,5947,2757,12,0.5836053681537904,0.3218833840900553,0.2408978741254039,0.509507634399848,251,18,233
3,2023-04-11,xgb,dasel_intersection,6127,2825,15,0.6261946902654867,0.3473289830042066,0.2942768691263156,0.615737362358336,251,18,233
3,2023-04-12,xgb,dasel_intersection,6634,2584,18,0.49806501547987614,0.2505372247173073,0.227764890997042,0.4416779578570928,251,18,233
3,2023-04-13,xgb,dasel_intersection,7429,1085,13,0.5668202764976958,0.2654848491257208,0.2537744382318343,0.5014164665097529,251,18,233
