window_seconds,variant,decoder,n_folds,n_samples,macro_f1_mean,macro_f1_std,accuracy_mean,balanced_accuracy_mean,weighted_f1_mean
1,M2,raw,4,23505,0.3474679748842944,0.022819466239887,0.5426272373847364,0.4513163774095766,0.5387567970280751
1,M2,causal_smoothing,4,23505,0.3918044686373063,0.032534040035711,0.602340825998161,0.4910271194668623,0.5801450427525161
1,M2,fixed_decoder,4,23505,0.4441180167124888,0.0535316914859288,0.6601753570477988,0.4841514512381898,0.6226943666597737
3,M5,raw,4,9251,0.3880883871215669,0.0325683682331853,0.5601893432344867,0.4967070637115286,0.5671129880229058
3,M5,causal_smoothing,4,9251,0.452630320475872,0.0440805108800838,0.6210259029605635,0.5754322434816792,0.615801242291806
3,M5,fixed_decoder,4,9251,0.4731656738675442,0.0419732058673985,0.6735655436181884,0.5557594440231985,0.6536197595989268
