window_seconds,variant,decoder,room,support,precision_weighted,recall_weighted,f1_weighted,n_folds
1,M2,causal_smoothing,501,65.0,0.6970596970596971,0.5538461538461539,0.6013058559477658,2.0
1,M2,causal_smoothing,502,78.0,0.9126819126819127,0.38461538461538464,0.4579710144927536,2.0
1,M2,causal_smoothing,505,33.0,0.0,0.0,0.0,2.0
1,M2,causal_smoothing,506,257.0,0.3711798527721904,0.7392996108949417,0.4809881231440651,3.0
1,M2,causal_smoothing,508,44.0,0.2699867456728521,0.5,0.2610396189423545,2.0
1,M2,causal_smoothing,511,142.0,0.49329469640811374,0.31690140845070425,0.3681993924330295,3.0
1,M2,causal_smoothing,512,292.0,0.7002618053559835,0.7123287671232876,0.7040813739521571,2.0
1,M2,causal_smoothing,513,260.0,0.5473077980293484,0.3076923076923077,0.3600900225056264,3.0
1,M2,causal_smoothing,515,231.0,0.5573857037271671,0.3722943722943723,0.4443362193362193,2.0
1,M2,causal_smoothing,516,23.0,0.03780718336483932,0.2608695652173913,0.06604292790313704,2.0
1,M2,causal_smoothing,517,25.0,0.3913419913419914,0.36,0.2962305986696231,3.0
1,M2,causal_smoothing,518,35.0,0.030561748871608025,0.11428571428571428,0.04797402597402597,3.0
1,M2,causal_smoothing,520,311.0,0.49215771069638387,0.8231511254019293,0.5854326418956703,4.0
1,M2,causal_smoothing,522,198.0,0.8427767255892256,0.6414141414141413,0.7143750262682302,2.0
1,M2,causal_smoothing,523,479.0,0.6425344979799869,0.6805845511482255,0.6415850015301103,4.0
1,M2,causal_smoothing,cafeteria,4862.0,0.5142630076560606,0.13965446318387495,0.20583369411784944,4.0
1,M2,causal_smoothing,cleaning,688.0,0.4374793879735781,0.34011627906976744,0.36267026150246034,4.0
1,M2,causal_smoothing,hallway,946.0,0.11147781219441576,0.011627906976744186,0.007638928381492089,3.0
1,M2,causal_smoothing,kitchen,5173.0,0.5867510337003767,0.8403247631935047,0.6831967672908035,4.0
1,M2,causal_smoothing,nurse station,9363.0,0.8127030626913727,0.8106376161486702,0.8065114892562684,4.0
1,M2,fixed_decoder,501,65.0,0.6873977086743044,0.6461538461538462,0.6661379857256147,2.0
1,M2,fixed_decoder,502,78.0,0.9134615384615384,0.3974358974358974,0.47387996618765854,2.0
1,M2,fixed_decoder,505,33.0,0.0,0.0,0.0,2.0
1,M2,fixed_decoder,506,257.0,0.7007334955474083,0.7898832684824902,0.6929824687983012,3.0
1,M2,fixed_decoder,508,44.0,0.004755244755244755,0.09090909090909091,0.009037745879851143,2.0
1,M2,fixed_decoder,511,142.0,0.6690140845070423,0.3591549295774648,0.4665251784680686,3.0
1,M2,fixed_decoder,512,292.0,0.7096385783662436,0.7226027397260274,0.7100545933154405,2.0
1,M2,fixed_decoder,513,260.0,0.7449815576677542,0.27692307692307694,0.35009282919499635,3.0
1,M2,fixed_decoder,515,231.0,0.5316292446381821,0.31601731601731603,0.3928998744652889,2.0
1,M2,fixed_decoder,516,23.0,0.04180602006688963,0.21739130434782608,0.07012622720897616,2.0
1,M2,fixed_decoder,517,25.0,0.0,0.0,0.0,3.0
1,M2,fixed_decoder,518,35.0,0.0,0.0,0.0,3.0
1,M2,fixed_decoder,520,311.0,0.8678908550783035,0.8681672025723473,0.8481331827300738,4.0
1,M2,fixed_decoder,522,198.0,0.9216959511077157,0.5606060606060606,0.6879779757778642,2.0
1,M2,fixed_decoder,523,479.0,0.6797470202659749,0.6951983298538622,0.6645990637050768,4.0
1,M2,fixed_decoder,cafeteria,4862.0,0.6033920338218282,0.16269025092554504,0.24054322887556454,4.0
1,M2,fixed_decoder,cleaning,688.0,0.6172464823079878,0.3444767441860465,0.4039492078700436,4.0
1,M2,fixed_decoder,hallway,946.0,0.0,0.0,0.0,3.0
1,M2,fixed_decoder,kitchen,5173.0,0.6147039376259267,0.8923255364392035,0.7198420905614356,4.0
1,M2,fixed_decoder,nurse station,9363.0,0.8153919691998187,0.9083627042614547,0.852043927141306,4.0
1,M2,raw,501,65.0,0.6828752642706132,0.6461538461538462,0.6450431289140967,2.0
1,M2,raw,502,78.0,0.7247960372960373,0.3333333333333333,0.3999172870140612,2.0
1,M2,raw,505,33.0,0.0,0.0,0.0,2.0
1,M2,raw,506,257.0,0.24564188698158063,0.6070038910505836,0.3390194564227495,3.0
1,M2,raw,508,44.0,0.15126918536009445,0.45454545454545453,0.18257575757575759,2.0
1,M2,raw,511,142.0,0.22516800147288962,0.30985915492957744,0.2608080065115858,3.0
1,M2,raw,512,292.0,0.6702669027936246,0.636986301369863,0.6490950250121368,2.0
1,M2,raw,513,260.0,0.5151996637242539,0.3230769230769231,0.360427807486631,3.0
1,M2,raw,515,231.0,0.5691367456073338,0.3463203463203463,0.42131742131742134,2.0
1,M2,raw,516,23.0,0.037481259370314844,0.21739130434782608,0.0639386189258312,2.0
1,M2,raw,517,25.0,0.31999999999999995,0.36,0.28421052631578947,3.0
1,M2,raw,518,35.0,0.033083967416553964,0.22857142857142856,0.05731073446327683,3.0
