window_seconds,variant,feature,feature_family,mean_abs_shap,fold_std_abs_shap,mean_seed_std_abs_shap,n_folds_selected,n_folds,n_explained
1,M2,rssi_rel_B20,relative_rssi,0.010997744,0.008398515,0.0005702769,4,4,2000
1,M2,rssi_iqr_all,rssi_statistics,0.010977886,0.009823151,0.0008151293,3,4,2000
1,M2,rssi_rel_B05,relative_rssi,0.010699879,0.0037291606,0.0007955476,4,4,2000
1,M2,rssi_rel_B10,relative_rssi,0.009730729,0.002179253,0.00066278013,4,4,2000
1,M2,freq_B19,frequency,0.009673006,0.019346012,0.00055933377,1,4,2000
1,M2,rssi_range_B08,rssi_statistics,0.009017575,0.010983585,0.0005578936,2,4,2000
1,M2,freq_B20,frequency,0.009016688,0.018033376,0.0004005282,1,4,2000
1,M2,rssi_min_B18,rssi_statistics,0.008885271,0.0023746528,0.0007360739,4,4,2000
1,M2,rssi_range_all,rssi_statistics,0.008884998,0.008292932,0.000853374,3,4,2000
1,M2,rssi_median_B18,rssi_statistics,0.0088490695,0.0028445753,0.000982393,4,4,2000
1,M2,rssi_rel_B18,relative_rssi,0.008481221,0.0065890807,0.0003957778,3,4,2000
1,M2,rssi_range_B09,rssi_statistics,0.008112871,0.010010089,0.0001972795,2,4,2000
1,M2,rssi_min_B10,rssi_statistics,0.007342908,0.0049777753,0.0006279242,3,4,2000
1,M2,rssi_max_B07,rssi_statistics,0.0072477236,0.001171353,0.0008391076,4,4,2000
1,M2,rssi_min_B22,rssi_statistics,0.0070458013,0.0013791707,0.0009971005,4,4,2000
1,M2,count_B13,coverage_distribution,0.0067846277,0.013569255,0.00016867244,1,4,2000
1,M2,rssi_rel_B12,relative_rssi,0.0067218207,0.013443641,0.00015794193,1,4,2000
1,M2,top1_beacon_rssi,beacon_rank,0.006442275,0.01288455,0.0004381837,1,4,2000
1,M2,rssi_min_B07,rssi_statistics,0.006435044,0.0021089448,0.0006761899,4,4,2000
1,M2,rssi_median_B22,rssi_statistics,0.006377603,0.004742431,0.00087730616,3,4,2000
1,M2,rssi_mad_all,rssi_statistics,0.006339271,0.0035882152,0.00043056931,4,4,2000
1,M2,rssi_median_B20,rssi_statistics,0.0063093146,0.004309045,0.0006471108,3,4,2000
1,M2,rssi_max_B22,rssi_statistics,0.006078805,0.004383093,0.000664351,3,4,2000
1,M2,rssi_mean_B23,rssi_statistics,0.0060743727,0.012148745,0.0004018072,1,4,2000
1,M2,rssi_std_all,rssi_statistics,0.0058570565,0.011714113,0.00014063343,1,4,2000
1,M2,rssi_min_B11,rssi_statistics,0.005633493,0.0051228064,0.00032352723,3,4,2000
1,M2,rssi_median_B21,rssi_statistics,0.0053442107,0.008545715,0.00031747326,2,4,2000
1,M2,rssi_mean_B10,rssi_statistics,0.0053141154,0.0037893606,0.00061267905,3,4,2000
1,M2,rssi_mean_B04,rssi_statistics,0.0051599233,0.010319847,0.00036735466,1,4,2000
1,M2,freq_B11,frequency,0.005112736,0.010225472,0.000416086,1,4,2000
1,M2,rssi_min_B23,rssi_statistics,0.0046777874,0.009355575,0.00032359312,1,4,2000
1,M2,rssi_mean_B05,rssi_statistics,0.0046698297,0.0093396595,0.00030258336,1,4,2000
1,M2,rssi_mean_B07,rssi_statistics,0.0045761075,0.0030802474,0.00036915106,3,4,2000
1,M2,fp_js_best,fingerprint_similarity,0.004392928,0.008785856,0.00024325318,1,4,2000
1,M2,active_beacon_count,coverage_distribution,0.004316419,0.00160752,0.00043281942,4,4,2000
1,M2,rssi_max_B21,rssi_statistics,0.004206671,0.0058779144,0.00056321453,2,4,2000
1,M2,present_B09,presence,0.0039567007,0.0031503374,0.00088569534,4,4,2000
1,M2,rssi_max_B10,rssi_statistics,0.0038176298,0.0030124306,0.00048125238,3,4,2000
1,M2,rssi_max_B11,rssi_statistics,0.0035673762,0.003288554,0.00048292102,3,4,2000
1,M2,dominant_beacon_margin,other,0.0035502668,0.0071005337,0.000253373,1,4,2000
1,M2,rssi_max_B23,rssi_statistics,0.003500872,0.005246469,0.00083223917,2,4,2000
1,M2,present_B04,presence,0.0034200693,0.0014779532,0.00033495147,4,4,2000
1,M2,rssi_range_B23,rssi_statistics,0.0033861797,0.0067723594,0.00013696006,1,4,2000
1,M2,rssi_mean_B08,rssi_statistics,0.0033540213,0.0067080427,0.00023833186,1,4,2000
1,M2,rssi_max_B06,rssi_statistics,0.0033237974,0.0038449636,0.0003494728,2,4,2000
1,M2,top3_beacon_count,beacon_rank,0.0030488553,0.0039337813,0.00028361424,4,4,2000
1,M2,rssi_median_B23,rssi_statistics,0.0029724916,0.005532245,0.00034019348,2,4,2000
1,M2,rssi_median_B11,rssi_statistics,0.0029400464,0.004303433,0.00021107939,2,4,2000
1,M2,rssi_median_B10,rssi_statistics,0.002632403,0.005264806,0.00021594219,1,4,2000
1,M2,rssi_range_B19,rssi_statistics,0.0026314722,0.0052629444,0.00021716152,1,4,2000
1,M2,rssi_mean_B19,rssi_statistics,0.0025632142,0.0051264283,0.00041387713,1,4,2000
1,M2,rssi_min_B06,rssi_statistics,0.0023381053,0.0028069855,0.00016054568,2,4,2000
1,M2,present_B21,presence,0.00214828,0.0017434014,0.0007490925,4,4,2000
1,M2,rssi_median_B06,rssi_statistics,0.0020788766,0.002925368,0.00031008743,2,4,2000
1,M2,top2_beacon_count,beacon_rank,0.0020370716,0.0033301425,0.00028653705,2,4,2000
1,M2,present_B07,presence,0.001991226,0.0016390589,0.00029319126,4,4,2000
1,M2,present_B11,presence,0.0019629593,0.0031527372,0.0004376444,3,4,2000
