window_seconds,variant,test_day,decoder,true_room,pred_room,count
1,M2,2023-04-10,raw,hallway,nurse station,123
1,M2,2023-04-10,raw,kitchen,501,0
1,M2,2023-04-10,raw,kitchen,506,6
1,M2,2023-04-10,raw,kitchen,508,7
1,M2,2023-04-10,raw,kitchen,511,9
1,M2,2023-04-10,raw,kitchen,516,0
1,M2,2023-04-10,raw,kitchen,520,1
1,M2,2023-04-10,raw,kitchen,523,17
1,M2,2023-04-10,raw,kitchen,cafeteria,61
1,M2,2023-04-10,raw,kitchen,cleaning,2
1,M2,2023-04-10,raw,kitchen,hallway,0
1,M2,2023-04-10,raw,kitchen,kitchen,883
1,M2,2023-04-10,raw,kitchen,nurse station,35
1,M2,2023-04-10,raw,nurse station,501,0
1,M2,2023-04-10,raw,nurse station,506,45
1,M2,2023-04-10,raw,nurse station,508,46
1,M2,2023-04-10,raw,nurse station,511,48
1,M2,2023-04-10,raw,nurse station,516,0
1,M2,2023-04-10,raw,nurse station,520,42
1,M2,2023-04-10,raw,nurse station,523,11
1,M2,2023-04-10,raw,nurse station,cafeteria,74
1,M2,2023-04-10,raw,nurse station,cleaning,33
1,M2,2023-04-10,raw,nurse station,hallway,40
1,M2,2023-04-10,raw,nurse station,kitchen,343
1,M2,2023-04-10,raw,nurse station,nurse station,2783
1,M2,2023-04-10,causal_smoothing,501,501,33
1,M2,2023-04-10,causal_smoothing,501,506,0
1,M2,2023-04-10,causal_smoothing,501,508,0
1,M2,2023-04-10,causal_smoothing,501,511,0
1,M2,2023-04-10,causal_smoothing,501,516,16
1,M2,2023-04-10,causal_smoothing,501,520,0
1,M2,2023-04-10,causal_smoothing,501,523,1
1,M2,2023-04-10,causal_smoothing,501,cafeteria,0
1,M2,2023-04-10,causal_smoothing,501,cleaning,0
1,M2,2023-04-10,causal_smoothing,501,hallway,0
1,M2,2023-04-10,causal_smoothing,501,kitchen,0
1,M2,2023-04-10,causal_smoothing,501,nurse station,0
1,M2,2023-04-10,causal_smoothing,506,501,0
1,M2,2023-04-10,causal_smoothing,506,506,55
1,M2,2023-04-10,causal_smoothing,506,508,0
1,M2,2023-04-10,causal_smoothing,506,511,0
1,M2,2023-04-10,causal_smoothing,506,516,0
1,M2,2023-04-10,causal_smoothing,506,520,0
1,M2,2023-04-10,causal_smoothing,506,523,0
1,M2,2023-04-10,causal_smoothing,506,cafeteria,0
1,M2,2023-04-10,causal_smoothing,506,cleaning,9
1,M2,2023-04-10,causal_smoothing,506,hallway,0
1,M2,2023-04-10,causal_smoothing,506,kitchen,0
1,M2,2023-04-10,causal_smoothing,506,nurse station,1
1,M2,2023-04-10,causal_smoothing,508,501,0
1,M2,2023-04-10,causal_smoothing,508,506,0
1,M2,2023-04-10,causal_smoothing,508,508,13
1,M2,2023-04-10,causal_smoothing,508,511,0
1,M2,2023-04-10,causal_smoothing,508,516,0
1,M2,2023-04-10,causal_smoothing,508,520,4
1,M2,2023-04-10,causal_smoothing,508,523,0
1,M2,2023-04-10,causal_smoothing,508,cafeteria,0
1,M2,2023-04-10,causal_smoothing,508,cleaning,0
1,M2,2023-04-10,causal_smoothing,508,hallway,0
1,M2,2023-04-10,causal_smoothing,508,kitchen,0
1,M2,2023-04-10,causal_smoothing,508,nurse station,0
1,M2,2023-04-10,causal_smoothing,511,501,0
1,M2,2023-04-10,causal_smoothing,511,506,0
1,M2,2023-04-10,causal_smoothing,511,508,0
1,M2,2023-04-10,causal_smoothing,511,511,0
1,M2,2023-04-10,causal_smoothing,511,516,0
1,M2,2023-04-10,causal_smoothing,511,520,0
1,M2,2023-04-10,causal_smoothing,511,523,0
1,M2,2023-04-10,causal_smoothing,511,cafeteria,0
1,M2,2023-04-10,causal_smoothing,511,cleaning,0
1,M2,2023-04-10,causal_smoothing,511,hallway,0
1,M2,2023-04-10,causal_smoothing,511,kitchen,3
1,M2,2023-04-10,causal_smoothing,511,nurse station,44
