window_seconds,variant,test_day,decoder,region,n_samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,M2,2023-04-10,causal_smoothing,all,7353,0.5932272541819665,0.555280098100606,0.3818784966020203,0.555280098100606,0.37226500677882335,0.5446770582686628
1,M2,2023-04-10,causal_smoothing,boundary_15s,1801,0.45141588006662964,0.4151266301431078,0.31357926416312165,0.4151266301431078,0.289252010479507,0.39209476357634265
1,M2,2023-04-10,causal_smoothing,stable,5552,0.6392291066282421,0.6526543519926746,0.43599232169554164,0.6526543519926746,0.43659926248959213,0.5994562381949862
1,M2,2023-04-10,fixed_decoder,all,7353,0.6356589147286822,0.5788124238498897,0.5271064677147655,0.5788124238498897,0.5022862304504488,0.586239547945204
1,M2,2023-04-10,fixed_decoder,boundary_15s,1801,0.5302609661299278,0.5377220590147499,0.4810190441983205,0.5377220590147499,0.47194529567641935,0.4710437485632831
1,M2,2023-04-10,fixed_decoder,stable,5552,0.6698487031700289,0.5825181237504529,0.5854732920132761,0.5825181237504529,0.5285082960560015,0.6279370631512131
1,M2,2023-04-10,raw,all,7353,0.560859513123895,0.5139213792691609,0.33368989931916343,0.5139213792691609,0.3344850002195223,0.5261053790731126
1,M2,2023-04-10,raw,boundary_15s,1801,0.42032204330927264,0.39441666724325253,0.2885543411072154,0.39441666724325253,0.2842435930200408,0.37473976400610154
1,M2,2023-04-10,raw,stable,5552,0.6064481268011528,0.6176214856801686,0.40398576924012886,0.6176214856801686,0.39645378938730463,0.5800634767086096
1,M2,2023-04-11,causal_smoothing,all,7739,0.6738596717922212,0.5408536240915621,0.4457964899530023,0.5408536240915621,0.4303622421000808,0.670080970616527
1,M2,2023-04-11,causal_smoothing,boundary_15s,896,0.49776785714285715,0.4870207922682461,0.458791229999448,0.4870207922682461,0.3982794650255437,0.4886072041832937
1,M2,2023-04-11,causal_smoothing,stable,6843,0.6969165570656145,0.5635106017822538,0.49072966957877373,0.5635106017822538,0.4816623150896105,0.6975608419020297
1,M2,2023-04-11,fixed_decoder,all,7739,0.7519059309988371,0.5460099866626437,0.49129302048252205,0.5460099866626437,0.47570159342075524,0.7266539305531411
1,M2,2023-04-11,fixed_decoder,boundary_15s,896,0.5111607142857143,0.43024274471088636,0.43031816783661253,0.43024274471088636,0.342026819443326,0.48943641401061244
1,M2,2023-04-11,fixed_decoder,stable,6843,0.7834283209118807,0.6328653763446066,0.680514930782853,0.6328653763446066,0.6323641488050126,0.7587248561886872
1,M2,2023-04-11,raw,all,7739,0.6098979196278589,0.4834051962289007,0.3673442566824415,0.4834051962289007,0.3768459410635696,0.6333519804142963
1,M2,2023-04-11,raw,boundary_15s,896,0.4453125,0.454965421837203,0.3827711029487656,0.454965421837203,0.3618821256892612,0.4454253175465356
1,M2,2023-04-11,raw,stable,6843,0.6314481952360076,0.4715209286248055,0.39917194968678926,0.4715209286248055,0.4044286278527193,0.662529416448831
1,M2,2023-04-12,causal_smoothing,all,5932,0.5433243425488874,0.3999249717534372,0.4032542905109014,0.3999249717534372,0.35856715729294625,0.49673297197047506
1,M2,2023-04-12,causal_smoothing,boundary_15s,1079,0.46246524559777574,0.3543648573000906,0.3565192176331573,0.3543648573000906,0.29699541123942225,0.4170980278465284
1,M2,2023-04-12,causal_smoothing,stable,4853,0.5613022872450031,0.4850932369801152,0.48312090956743,0.4850932369801152,0.435626385237937,0.5176712559701098
1,M2,2023-04-12,fixed_decoder,all,5932,0.565913688469319,0.39635374477796725,0.48171640570430835,0.39635374477796725,0.3895423630199501,0.5002641314482574
1,M2,2023-04-12,fixed_decoder,boundary_15s,1079,0.4772937905468026,0.3103020983513297,0.3185433610254223,0.3103020983513297,0.2857753231011204,0.41651868697380556
1,M2,2023-04-12,fixed_decoder,stable,4853,0.5856171440346177,0.5019926108458095,0.5698763971836487,0.5019926108458095,0.48634118616198657,0.5184635966237124
1,M2,2023-04-12,raw,all,5932,0.47859069453809844,0.38481249697577885,0.3502451139458896,0.38481249697577885,0.3251963234318871,0.4545643385457355
1,M2,2023-04-12,raw,boundary_15s,1079,0.39666357738646896,0.34753089075879295,0.3537940440638253,0.34753089075879295,0.2789301378664076,0.3716611378336662
1,M2,2023-04-12,raw,stable,4853,0.49680609932000824,0.4472385582655309,0.4216732680584265,0.4472385582655309,0.39189834087334335,0.4768928019548228
1,M2,2023-04-13,causal_smoothing,all,2481,0.5989520354695688,0.4680497839218441,0.41605300359818204,0.4680497839218441,0.40602346837737474,0.6090891701543998
1,M2,2023-04-13,causal_smoothing,boundary_15s,662,0.552870090634441,0.48268483076004054,0.3746719043233889,0.48268483076004054,0.3474842086049677,0.539748307469081
1,M2,2023-04-13,causal_smoothing,stable,1819,0.6157229246838922,0.526821033818787,0.4624732113993423,0.526821033818787,0.45971921546057976,0.6376942116646189
1,M2,2023-04-13,fixed_decoder,all,2481,0.6872228939943571,0.4154296496622586,0.43651470131481557,0.4154296496622586,0.40894187995880105,0.6776198566924924
1,M2,2023-04-13,fixed_decoder,boundary_15s,662,0.5604229607250756,0.3812472215253812,0.36613086930353334,0.3812472215253812,0.3260595381575539,0.5286368835454825
1,M2,2023-04-13,fixed_decoder,stable,1819,0.7333699835074217,0.5297354481201233,0.5315232896792704,0.5297354481201233,0.5160495764043675,0.7321763771587387
1,M2,2023-04-13,raw,all,2481,0.5211608222490931,0.4231264371644658,0.35529769395164984,0.4231264371644658,0.35334463482219874,0.5410054900791558
1,M2,2023-04-13,raw,boundary_15s,662,0.4697885196374622,0.41525831848756656,0.280813955287116,0.41525831848756656,0.27812808442530207,0.46877653069232983
